Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
131	single	MakeDamnSure	Stand Atlantic	None	MakeDamnSure	pop punk	2019	https://p.scdn.co/mp3-preview/382f34bcfc36e2df16fc2c954141a769dc94c39a
132	single	It Is What It Is	Mayday Parade	None	It Is What It Is	pop punk	2020	https://p.scdn.co/mp3-preview/ac9449988ea73a620c9cfc3f9eb7d57f769e6131
133	album	This is a Stick Up...don't Make It a Murder	Hit The Lights	None	Bodybag	pop punk	2006	https://p.scdn.co/mp3-preview/942735c6b7210cfb5bda404e33ed5f46eaae1ce7
134	single	Feel Good Now	The Ready Set	None	Killer	pop punk	2011	https://p.scdn.co/mp3-preview/5dd2ed5012d48764e4fa233f1262712fdf14cfb1
135	album	Til the Casket Drops	ZZ Ward	Kendrick Lamar	Cryin Wolf	modern alternative rock	2012	https://p.scdn.co/mp3-preview/4447ffc62a813c56944d309e080dcd711d45a414
136	album	Sorry, Mom	Destroy Boys	None	I Threw Glass at My Friend's Eyes and Now I'm on Probation	indie pop	2017	https://p.scdn.co/mp3-preview/5b1298788a516532d016d4a1f8baad07bcad4c30
137	single	LEMONS (Demo)	Brye	None	LEMONS - Demo	indie pop	2020	https://p.scdn.co/mp3-preview/f783dd75de498f0b004388379ae930498650aa2d
138	single	Oreo	Yung Fuego	Swag Money	Oreo	None	2020	None
139	album	Even If It Kills Me (10th Anniversary Edition)	Motion City Soundtrack	None	Fell In Love Without You - Acoustic	pop punk	2017	https://p.scdn.co/mp3-preview/03e73b861181ca3d31c371bb3e1cce43ed3ba0c5
140	album	Just The Best Party	World \ Inferno Friendship Society	None	All The World Is A Stage (Dive)	ska punk	2002	https://p.scdn.co/mp3-preview/68bc112545db2eb79b86ea658317914291d0e2e2
141	album	Less Talk, More Rock	Propagandhi	None	A Public Dis-Service Announcement from Shell	punk	1996	https://p.scdn.co/mp3-preview/ed7d931f2cd129396eb1836db404f59ee467eee4
142	album	Red-Eyed Soul	World \ Inferno Friendship Society	None	Brother of the Mayor of Bridgewater	ska punk	2006	https://p.scdn.co/mp3-preview/e36f9d92748a9d6e27f36c48c851c33d8d634ad0
143	album	Fuck World Trade (Reissue)	Leftover Crack	None	Feed the Children (Book of Lies)	ska punk	2004	https://p.scdn.co/mp3-preview/2361395eaf19baba35e1abe9b13f86cc840ff77c
144	album	Addicted to Bad Ideas	World \ Inferno Friendship Society	None	Ich erinnere mich an die weimarer republik	ska punk	2007	https://p.scdn.co/mp3-preview/b90228c292860a806346ca6e7421cb8b957ac8a6
145	single	Men Are Trash	Scotty Sire	None	Men Are Trash	social media pop	2020	https://p.scdn.co/mp3-preview/72873ddf5c423ef1af92887adcb0d3c7ac2359f0
146	album	Ego Death	The Internet	None	Special Affair	alternative r&b	2015	https://p.scdn.co/mp3-preview/8bae5d1a8b4575fa27b08c4382a5397e254306b4
147	album	The Great Burrito Extortion Case	Bowling For Soup	None	High School Never Ends - Main Version - Explicit	pop punk	2006	https://p.scdn.co/mp3-preview/95fc8530bddbea7cf656b11192aa55a2c581c271
148	album	Keine Nacht fur Niemand	Kraftklub	None	Chemie Chemie Ya	german rock	2017	https://p.scdn.co/mp3-preview/acc973b1c3c6f6276cc6c274a9d05e27fff9db81
149	single	Oh Yeah!	Green Day	None	Oh Yeah!	pop punk	2020	https://p.scdn.co/mp3-preview/d9c3dff24392b934c0a4b5362369fa93bed16900
150	album	Billy Talent	Billy Talent	None	Prisoners of Today	pop punk	2003	https://p.scdn.co/mp3-preview/244fdab3cd8e6dae24bf69c300bb2da794870038
151	album	Billy Talent	Billy Talent	None	Standing in the Rain	pop punk	2003	https://p.scdn.co/mp3-preview/e42d5f3102696188e6d0f4409e509e5d1a1c55a2
152	album	Billy Talent	Billy Talent	None	The Ex	pop punk	2003	https://p.scdn.co/mp3-preview/d1fb0643d67f79763d8283d79bd6a2c42c4ab713
153	album	Billy Talent	Billy Talent	None	Nothing to Lose	pop punk	2003	https://p.scdn.co/mp3-preview/e8669fa62d9e58e35f51165a3cfea8d14f0e7ce1
154	album	Billy Talent II	Billy Talent	None	Devil in a Midnight Mass	pop punk	2006	https://p.scdn.co/mp3-preview/66f8710c3bf92b69452c39ee2498eef87fd0172a
